week,pub_date,title,teaser,url
51,12/18/2013,The Stars Come Out For Holiday Bakers,"What's cozier than curling up by a window on a starry night, watching a few starry flakes of snow drifting down, nibbling the sugary points of a star cookie one by one? Nibbling three different types of star cookies!",http://www.npr.org/2013/12/18/251978260/the-stars-come-out-for-holiday-bakers
50,12/11/2013,Breakfast-For-Dinner Shame Should Be Put To Bed,"Sure, you can flip up a short stack of syrupy pancakes and bacon and delight everyone at the dinner table. But why stop there? Why not serve, say, eggs baked in a seasoned sauce, with crusty bread for dipping? Or use a waffle iron to press perfectly crisp hash browns.",http://www.npr.org/2013/12/11/250131301/breakfast-for-dinner-shame-should-be-put-to-bed
49,12/4/2013,Get Freshly Minted This Holiday Season,"The fresh herb adds wintry zip to butternut squash, cranberry sauce and a traditional cocktail, while mint extract mixes with chocolate in a cool dessert.",http://www.npr.org/2013/12/03/248452905/get-freshly-minted-this-holiday-season
48,11/27/2013,"Even In Winter, Let Salads Reflect The Season","When the days grow short and cold, it's time to cozy up to a hearty bounty of root vegetables, dark greens, fruits and grains.",http://www.npr.org/2013/11/26/247377792/even-in-winter-let-salads-reflect-the-season
47,11/20/2013,You Can't Judge A Celery Root By Its Looks,"The humble celery root probably won't win any beauty competitions. But if you push past its gnarled appearance, you'll find a tuber that's packed with flavors. It's raw crispness is perfect for a winter salad. When cooked, celery root delivers a nutty sweetness with a warm, buttery, earthy quality that is endlessly malleable.",http://www.npr.org/2013/11/20/246223754/you-can-t-judge-a-celery-root-by-its-looks
46,11/13/2013,"New Nordic Is Cool, But Old Scandinavian Food Holds Its Own","The food of Scandinavia is a product of geography and climate, along with some contributions from seafaring Viking history. It may not pack a spicy kick, but sturdy Nordic staples make the most of seasonal produce and fresh herbs.",http://www.npr.org/2013/11/13/244600582/new-nordics-cool-but-old-scandinavian-food-holds-its-own
45,11/6/2013,"Yes, It's Worth It To Make Your Own Yogurt","It's easy to make your own yogurt, and when you do, you're in control. Your homemade cultured milk can be worked into a variety of sweet and savory dishes.",http://www.npr.org/2013/11/06/243014945/yes-it-s-worth-it-to-make-your-own-yogurt
44,10/30/2013,Black Sesame Seeds Can Be So Much More Than A Decoration,"In the U.S., sesame seeds seem to be used for little more than sprinkling atop rolls or loaves of bread. But in many Asian and Middle Eastern cuisines, the tiny, nutty seeds are incorporated into both savory and sweet preparations.",http://www.npr.org/2013/10/30/241696949/black-sesame-seeds-can-be-so-much-more-than-a-decoration
43,10/23/2013,"In Roasts, A Touch Of Fruit Brings Out The Best In Meat","The heat of the oven gives fruit's sweetness a syrupy concentration that complements the salty, savory flavors of roasted meats. Many - though not all - fruits can infuse and pair with a variety of roasted meats and vegetables.",http://www.npr.org/2013/10/23/240252232/in-roasts-a-touch-of-fruit-brings-out-the-best-in-meat
42,10/16/2013,"Tickled Pink: Fresh, Young Ginger Is A Sweet Break From Gnarled Roots ","Ginger is mostly grown in steamier climates, mostly in Asia, but intrepid farmers across the U.S. have picked up the crop. Baby ginger is fresh, juicy and sweeter than the brown gnarled roots most commonly available - and that makes it perfect for a host of drinks, desserts and dishes.",http://www.npr.org/2013/10/16/234888648/tickled-pink-fresh-young-ginger-is-a-sweet-break-from-gnarled-roots
41,10/9/2013,Your Favorite Beer May Become Your Favorite Ingredient,"Craft beer is having its moment. Microbreweries and craft beer operations are thriving, and weekend warriors spend hours in the garage honing recipes and sharing test batches. But beer isn't always a standard go-to ingredient for home cooks - which means you may be missing out on the complexity beer can bring to cooking and baking.",http://www.npr.org/2013/10/08/230544406/your-favorite-beer-may-become-your-favorite-ingredient
40,10/2/2013,Farro: An Ancient And Complicated Grain Worth Figuring Out,"Farro is a type of grain with a nutty flavor and ancient roots. It can be tricky to cook, but Laura B. Weiss says that with a little knowledge of farro's variants, it's versatile and delicious. And it's catching on in restaurants and with home cooks.",http://www.npr.org/2013/10/02/227838385/farro-an-ancient-if-complicated-grain-worth-figuring-out
39,9/25/2013,Gravenstein Apples: The End Of Summer In A Fruit,"As summer turns to fall, finding new ways to use up abundant apples is a great way to mark the arrival of autumn. And for one food writer, there's one apple in particular that spells the end of summer: Gravenstein apples, which are grown in her native Sebastopol, Calif.",http://www.npr.org/2013/09/25/225884066/gravenstein-apples-the-end-of-summer-in-a-fruit
38,9/18/2013,Beyond Cuba: Foods Of Latino-Caribbean Cuisine,"For one food writer, Cuban food was a gateway cuisine to the spicy and soulful cooking of the Caribbean and points farther south. From Argentinian grills and Jamaican jerk places to Haitian barbecue joints, these cuisines co-exist and interact, as kitchens and menus cross-pollinate.",http://www.npr.org/2013/09/18/223403648/beyond-cuba-foods-of-latino-caribbean-cuisine
37,9/11/2013,Comte Shows There's More Than Gruyere In The Alps,"With flavors of fresh butter, citrus, hazelnuts, caramelized onions or chocolate, Comte is a cheese with more range than Meryl Streep and a texture just as seamless.",http://www.npr.org/2013/09/11/220803338/comte-shows-there-s-more-than-gruyere-in-the-alps
36,9/4/2013,Making A Case For Corn Off The Cob,"If you're not a fan of gnawing on the roughly 800 kernels on each ear, what's left to talk about when it comes to corn? Plenty as it turns out - as long as you use a knife to carefully remove the kernels from the cob.",http://www.npr.org/2013/09/04/217300315/making-a-case-for-corn-off-the-cob
35,8/28/2013,"Roasted Tomatoes, The Perfect Accessory For Summer Dishes","Dressed in caramel notes, with a suggestion of salt and a big wink toward vinegar, a roasted tomato's most memorable feature is its long, sensuous, deep and savory finish.",http://www.npr.org/2013/08/28/215862597/roasted-tomatoes-the-perfect-accessory-for-summer-dishes
34,8/21/2013,Getting Past Pesto To Re-Imagine Basil,"Basil is a mega-celebrity of the herb world. But if it had a choice, it might prefer to be recognized for its work in lesser-known cuisines and recipes (the indie films and off-Broadway plays, if you will), where it shines in a different way and brings a new dimension to food.",http://www.npr.org/2013/08/21/200515210/getting-past-pesto-to-re-imagine-basil
33,8/14/2013,"In Maine, Lobster Comes Out Of Its Shell","It's a rite of passage to cook live lobster, a way to make peace with where your food comes from. But buying shelled meat is an efficient treat. Now you can even cook with raw whole meat separated from the shell by centrifuge.",http://www.npr.org/2013/08/14/211388320/in-maine-lobster-comes-out-of-its-shell
32,8/7/2013,Cobbled Together: American Fruit Desserts,"The versatility of the cobbler family of desserts allows you to experiment with various combinations of summer fruit and swap in biscuit or pie dough, depending on what you have on hand. After all, you're cobbling it together. If the shoe fits, wear it.",http://www.npr.org/2013/08/07/209514441/cobbled-together-american-fruit-desserts
31,7/31/2013,Buttermilk Makes Everything Taste A Little Better,"Buttermilk somehow seems perpetually cool and unruffled. It evokes cream without cream's over-the-top heft; its tanginess goes up to the threshold of yogurt and stops just shy. No matter how you cook it, a little bit of buttermilk has a thousand ways of making life taste better.",http://www.npr.org/2013/07/31/207060436/buttermilk-makes-everything-taste-a-little-better
30,7/24/2013,"On Hot Summer Days, Cook Your Fish Without Fire","As much as a river-cold slice of watermelon is refreshing in the summer, there are sweltering days when you need a cold meal with a little more heft, a little more protein. On those days, there's raw fish.",http://www.npr.org/2013/07/24/204925394/on-hot-summer-days-cook-your-fish-without-fire
29,7/17/2013,Baking A Little Invention Into Savory Cakes,"Savory cakes are wonderfully versatile. You can follow the basic recipe and add any vegetables you like - fresh, roasted or sauteed. If you add spices, cheese, capers, olives or even beans, you combine all of the elements of a meal into one satisfying package.",http://www.npr.org/2013/07/17/202464700/baking-a-little-invention-into-savory-cakes
28,7/10/2013,Scape Velocity: Green Garlic Takes Flight,"Scapes are the gardener's dividend. The taste of that green garlic is haunting - biting, fresh, vegetal and verdant. It is to mature garlic what a string quartet is to an orchestra; what a sonnet is to a novel.",http://www.npr.org/2013/07/10/200147649/scape-velocity-green-garlic-takes-flight
27,7/3/2013,Kick The Can: Soda Machines Beg For Experimentation,"Chefs and mixologists have been pushing the envelope with soda recipes since the craft cocktail movement surfaced a few years back. And since most soda recipes take little time, effort and money, it's easy to try something new.",http://www.npr.org/2013/07/03/197744381/kick-the-can-soda-machines-beg-for-experimentation
26,6/26/2013,Helping Pasta Salad Dress For Success,"The pasta salads of the supermarket salad bar often range from unexciting to unappetizing, and many are choked with mayonnaise. But summer is a great time to reinvent the picnic staple with fresh vegetables and flavorful dressings.",http://www.npr.org/2013/06/26/195311156/helping-pasta-salad-dress-for-success
25,6/19/2013,"Stalking The Elusive, Worthy Apricot","Apricots are the finest of summer's fruits, with dense, juicy flesh and delicate, velvety skins. That's why it is so disheartening when you bite into one, only to find it is mealy and flavorless. To find the best ones, head to your local farmers market.",http://www.npr.org/2013/06/19/192729957/stalking-the-elusive-worthy-apricot
24,6/12/2013,A Guide To Grilling Beyond 'Dude Food' ,"As Father's Day approaches, you can remind Dad that there's more to Father's Day grilling than just cheeseburgers.",http://www.npr.org/2013/06/12/190464194/kitchen-window-a-guide-to-grilling-beyond-dude-food
23,6/4/2013,We All Scream For Ice Cream,"Every culture loves its ice cream, or the frozen treat that stands in for it. From Mexican ",http://www.npr.org/2013/06/04/188671310/we-all-scream-for-ice-cream
22,5/29/2013,Rhubarb Brings Spring To The Table,"A vegetable that often masquerades as a fruit in sweet dishes, rhubarb is a true harbinger of the season, appearing in April and, if we're lucky, lasting until July. You can save some for an off-season fix, too, because it freezes and thaws beautifully.",http://www.npr.org/2013/05/28/186920983/rhubarb-brings-spring-to-the-table
21,5/22/2013,Real Butterscotch: The Beauty Of Sugar And Dairy Transformed,"When a few humble elements are combined in perfect balance, butterscotch is born. And food writer Deena Prichep says she turns this childhood favorite into a dinner-party star with counterpoints like flaky salt or crunchy nuts.",http://www.npr.org/2013/05/22/183933860/real-butterscotch-the-beauty-of-sugar-and-dairy-transformed
20,5/15/2013,Bringing Back Butterscotch,"Butterscotch seemed to have fallen out of fashion, but food writer Rina Rapuano says she's seeing glimmers of a comeback. And we don't mean hard candies and instant pudding. The revival of this old-fashioned flavor inspires a crepe cake, a chocolate-crusted tart and more.",http://www.npr.org/2013/05/15/184147172/bringing-back-butterscotch
19,5/8/2013,Try A Do-It-Yourself Mother's Day,"Rather than waiting for someone to give you a treat, why not make one of your favorites for yourself? Something you can snack on all week when no one's around. Or, better yet, something you don't have to share. Food writer T. Susan Chang recommends slow-roasted pecans, salty-sweet matzo candy and more.",http://www.npr.org/2013/05/07/181984272/try-a-do-it-yourself-mothers-day
18,5/1/2013,"Bringing Home The Essence Of Umbria, Italy","Famous for its grain, pork products and black truffles, this region's cuisine exemplifies the cardinal virtues of all Italian cooking: simplicity, tradition and respect for fresh, local ingredients. Food writer Tom Gilbert recalls his time there with recipes for pasta, soup and salad.",http://www.npr.org/2013/04/30/180077360/bringing-home-the-essence-of-umbria-italy
17,4/24/2013,A Fresh Pod Cast: Savoring Spring's Green Peas,"Emerald green and tender, yet with a gentle crunch, garden peas can be so delightful when fresh - and so disappointing when not. Try them now in their seasonal prime in these recipes for chilled soup, a citrusy spread and a traditional rice dish.",http://www.npr.org/2013/04/23/178577521/a-fresh-pod-cast-savoring-springs-green-peas
16,4/17/2013,Nettles Bring Spring To The Kitchen,"Stinging nettles are an overlooked bit of nature's bounty, their prickly leaves hiding a secret: They're good-tasting and good for you. (Consider them a stand-in for spinach.) To find them, just pull on some gloves and head out into the wild - or to a farmers market.",http://www.npr.org/2013/04/17/176668359/nettles-bring-spring-to-the-kitchen
15,4/10/2013,"Preserved Lemons: Older, Wiser And Full Of Flavor","Salted and aged, the fruit develops mellow yet intensely lemony flavor, with none of the nose-tickling bright, high notes of the fresh version. Though they do take some time, preserved lemons are easy to make, keep practically forever, and make everything around them seem a little sweeter.",http://www.npr.org/2013/04/08/176577903/preserved-lemons-older-wiser-and-full-of-flavor
14,4/3/2013,True Grits: Getting In Touch With Your Inner Southerner,"If you think you don't like grits, food writer Rina Rapuano says, you should give them another try. These recipes for savory grits fixings, pecan pie, pancakes and a cheesy casserole might just change your mind.",http://www.npr.org/2013/04/02/176040906/true-grits-getting-in-touch-with-your-inner-southerner
13,3/27/2013,"Lamb For Four Sundays, Four Ways","Though it's not as common as other proteins in American cuisine, lamb often gets a share of the spotlight on springtime's holiday tables. It's a good time to experiment with lamb's magical ability to absorb and alter flavors.",http://www.npr.org/2013/03/27/175362767/lamb-for-four-sundays-four-ways
12,3/20/2013,Lard And Schmaltz Make A Comeback In The Kitchen,"After years in culinary exile, animal fats are finding their way back into Americans' pots and pans. Pork, duck or chicken fat serves as a rich base that lifts an array of dishes to new flavor heights.",http://www.npr.org/2013/03/20/174817952/lard-and-schmaltz-make-a-comeback-in-the-kitchen
11,3/13/2013,Outside The Pizza Box: Chicago's New Pie Scene,"The city known for its deep-dish pizza is branching out, from savory single servings to tarts and galettes, to traditional fruit or cream favorites.",http://www.npr.org/2013/03/12/174142452/outside-the-pizza-box-chicagos-new-pie-scene
10,3/6/2013,The Caraway Seed Is A Spice Worth Meeting ,"Whether it belongs in the rye bread or the sauerkraut is sometimes hotly debated. But food writer Domenica Marchetti says caraway's complex flavors can tone down the richness of meat dishes, or bring cabbage and potatoes to life.",http://www.npr.org/2013/03/05/173529055/the-caraway-seed-is-a-spice-worth-meeting
9,2/27/2013,In Praise Of The Humble Lentil,"Like many other intrinsically boring foods - say, tofu or grits - lentils shine because they get out of the way. They provide a vehicle and a backdrop for other flavors - whether it's good olive oil and gently gilded onions, or ground spices and lemony pesto.",http://www.npr.org/2013/02/25/172894702/in-praise-of-the-humble-lentil
8,2/20/2013,What Do Lemon Fish And Bourbon Balls Have In Common? Girl Scout Cookies,"You can probably imagine using these cookies to make a dessert pizza, chocolaty popcorn or even bourbon balls. But as a crumb coating for fish, or in a savory stuffing? Oh, yes - it's Girl Scout cookie time.",http://www.npr.org/2013/02/20/172407754/be-prepared-girl-scout-cookie-cooking-may-surprise-you
7,2/13/2013,Porridge: A Just-Right Meal To Fight Winter's Chill,"It isn't just the fairy tale stuff of Goldilocks, or the pauper gruel of Oliver Twist. Really, porridge can be a beautiful (sweet or savory) thing, especially during the cold slog of winter.",http://www.npr.org/2013/02/12/171793589/porridge-a-just-right-meal-to-fight-winters-chill
6,2/5/2013,"Chocolate: Out Of The Box, Into The Frying Pan","There is nothing sadder than giving or receiving a box of boring chocolates on Valentine's Day. Instead, combine two things that will impress your significant other more than anything else: chocolate and a home-cooked meal - like beef short ribs braised in chocolate and wine.",http://www.npr.org/2013/02/05/171152283/chocolate-out-of-the-box-into-the-frying-pan
5,1/30/2013,Understanding The Brussels Sprout,"This humble cabbage relative is undergoing a renaissance. Cookbooks are full of conversion stories and recipes. Food writer T. Susan Chang shares hers: The delectable versions she now enjoys bear no resemblance to the boiled, greenish-yellow sprouts of her youth.",http://www.npr.org/2013/01/30/170570081/understanding-the-brussels-sprout
4,1/23/2013,A Slight Twist On The Sunday Roast,"This updated version of the traditional end-of-weekend meal is a great way to turn a lazy weekend into an occasion, to gather family or friends for good food and good times.",http://www.npr.org/2013/01/22/169999343/a-slight-twist-on-the-sunday-roast
3,1/16/2013,Discovering Barley's Hidden Charms,"It may not be as sexy as farro, as healthy as quinoa or as versatile as oats. But barley has a lot more going for it than being malted for beer or being dumped in a soup. Its versatility shines in salads, soup - even risotto.",http://www.npr.org/2013/01/16/169417227/discovering-barleys-hidden-charms
2,1/9/2013,Post-Holiday 'Detox' Dining Can Be A Tasty Surprise,"Who says you need a smoothie to feel great? Food writer Eve Turow says she'd rather gnaw than swish her way back to health after the indulgent holidays. Ingredients like ginger, tamarind and coconut are good for much more than so-called ""detox"" drinks.",http://www.npr.org/2013/01/09/168863521/post-holiday-detox-dining-can-be-a-tasty-surprise
1,1/2/2013,Tame Wild Game In The Kitchen,"You don't have to be a hunter (or know one) to master meals of boar, rabbit, venison, alligator and other game. Home cooks can find many of these meats - wild or farm-raised - at markets or online.",http://www.npr.org/2013/01/02/168449150/tame-wild-game-in-the-kitchen
52,12/26/2012,Infuse The Holidays With Spirits,"Want a little more kick to your cocktail? Rina Rapuano explains how to infuse your liquor with citrus, spices and more. She shares recipes from some serious spirit-makers - for Mandarin Tea Vodka, Pecan-Infused Rye and Pineapple-Habanero Tequila.",http://www.npr.org/2012/12/24/167965542/infuse-the-holidays-with-spirits
51,12/19/2012,A Gluten-Free Holiday Table,"Dealing with varied dietary restrictions may seem daunting and can add yet another complication to this glorious yet hectic season. Don't fret. Keep it simple, fresh and real with these gluten-free and vegetarian - and even some vegan - options.",http://www.npr.org/2012/12/18/167544018/a-gluten-free-holiday-table
50,12/12/2012,Belgian Sweets Not Just For 'Sinterklaas',Spiced cookies shaped like windmills or villagers mark celebrations of St. Nicholas (or Sinterklaas) - and remind food writer Emily Hilliard of childhood visits with her grandmother. These ,http://www.npr.org/2012/12/12/166961539/belgian-sweets-not-just-for-sinterklaas
49,12/5/2012,Learning To Cook Under Pressure,"The pressure cookers of a generation or two ago stoked fear with their explosive reputation. But don't let those bygone notions keep you from bringing faster, more flavorful meals to the table.",http://www.npr.org/2012/12/05/166417870/learning-to-cook-under-pressure
48,11/28/2012,Baking Without Flour For The Holidays,Think outside the bag of white flour that's ubiquitous in the kitchen this time of year. These delights are naturally flour-free yet still utterly delicious.,http://www.npr.org/2012/11/28/166049020/baking-without-flour-for-the-holidays
47,11/21/2012,Frozen Meals Soothe The Sick And Shut-In,"A fresh hot meal is a thing of beauty when you're having a tough go of things, and can literally bring tears to people's eyes. But a full freezer? That's money in the bank. So when it comes to feeding people in need, an extra meal for the freezer can be the best gift of all.",http://www.npr.org/2012/11/21/165041460/frozen-meals-soothe-the-sick-and-shut-in
46,11/14/2012,Giving Thanks For Can-Free Cooking,"You can do better than cans of cranberry sauce, pumpkin and cream of mushroom soup in your Thanksgiving recipes. Turkey Day meals average 3,000 calories. Make. Them. Count.",http://www.npr.org/2012/11/13/165057852/giving-thanks-for-can-free-cooking
45,11/6/2012,Cider House Jewels Get Creative Juices Flowing,"Let's first toast the season with steaming mugs of hot cider and glasses of sparkling hard cider. Then, let's start cooking. Cider isn't just good to drink. It can play the starring role in both sweet and savory dishes.",http://www.npr.org/2012/11/06/164344583/cider-house-jewels-get-creative-juices-flowing
44,10/31/2012,The Hard-Boiled Truth About Egg Soups ,"When T. Susan Chang was young, her mother would make egg soup for her when she got sick. Now, the food writer poaches a few eggs from her chickens' nests to make these soups when her kids get the sniffles.",http://www.npr.org/2012/10/31/163895709/the-hard-boiled-truth-about-egg-soups
43,10/24/2012,Blood And Guts For Halloween,"Eating offal isn't a fringe idea these days - fine-dining restaurants are serving nose-to-tail cuisine and charging a lot of money for it. But getting kids to eat blood pudding and beef hearts might take some salesmanship, and this spooky season can help.",http://www.npr.org/2012/10/24/163519332/blood-and-guts-for-halloween
42,10/17/2012,Dals: Simple Indian Comfort Food,"During her childhood, says food writer Monica Bhide, the whistle of the pressure cooker always signaled that a comforting lentil dish would be on the dinner table. But you don't need a pressure cooker to make these protein-packed, flavorful dishes.",http://www.npr.org/2012/10/16/163014529/dals-simple-indian-comfort-food
41,10/10/2012,'Tis The Season For Savory Tarts,"Between the forbiddingly hot kitchens of summer and the long, produce-deficient months of winter comes a spell of abundant vegetables and perfect cooking weather - just right for savory tarts.",http://www.npr.org/2012/10/10/162559715/tis-the-season-for-savory-tarts
40,10/3/2012,It's Time To Pick A Peck Of Peppers,"Sweet peppers surge into ripeness in late summer and flourish into fall. When they're in season and plentiful, they're a bargain. So stock up now and explore their various forms - crisp and aromatic when raw, silky and alluring when cooked.",http://www.npr.org/2012/10/02/162162930/it-s-time-to-pick-a-peck-of-peppers
39,9/26/2012,"A Roll For All Seasons, Wrapped In Rice Paper","You might have had a Vietnamese-style ""summer roll,"" with shrimp and fresh herbs wrapped in translucent rice paper. But what else could you tuck into this versatile wrapper? Sandwich fixings (minus the bread!), leftovers - your imagination's the limit.",http://www.npr.org/2012/09/25/161752021/a-roll-for-all-seasons-wrapped-in-rice-paper
38,9/19/2012,"How To Upset The Apple Cart, Deliciously","It might look like a typical apple pie, but this is no cinnamon-sugar bomb. Cut into it and you'll find seasoned pork along with the sliced fruit. It's just one of many savory ways to highlight the versatile apple.",http://www.npr.org/2012/09/18/161353759/how-to-upset-the-apple-cart-deliciously
37,9/12/2012,Sorghum Travels From The South To The Mainstream,"The molasseslike sweetener that has long had a following in kitchens in the South and Midwest also has found its way onto fine restaurant menus. Try it with butter on a biscuit, or use it in desserts, a cocktail or even a vinaigrette.",http://www.npr.org/2012/09/12/160946531/sorghum-travels-from-the-south-to-the-mainstream
36,9/5/2012,No-Bake Desserts? No Sweat,"Combine flavors and textures - sweet and citrusy, creamy and crunchy, fluffy and nutty - to make these showstopper sweets, without heating up the oven. Food writer Janet A. Zimmerman recommends a cool, lemony cheesecake, velvety chocolate pie and praline parfaits.",http://www.npr.org/2012/09/05/160308842/no-bake-desserts-no-sweat
35,8/29/2012,Zucchini You Actually Can't Resist,Showcasing the delicate flavor and texture of this prolific squash can be a challenge. But these three recipes will make converts out of even the most ardent zucchini-phobes.,http://www.npr.org/2012/08/28/160125138/zucchini-you-actually-cant-resist
34,8/22/2012,The Pies Of Late Summer,"At the end of summer, when you're sunburned and hot and maybe a bit tired of peaches or berries, try adding tangy custard, a pecan crumble or dark caramel to your farmers market cache, or pair two or more fruits for a refreshing change.",http://www.npr.org/2012/08/21/159541813/the-pies-of-late-summer
33,8/15/2012,Travel The World Through Portuguese Cooking,"Portugal's colonial explorers left a culinary trail behind them - and also brought some exotic flavors back home. Sample Portugal's fusion, flavors and history with these recipes for traditional soups, seafood and more.",http://www.npr.org/2012/08/14/158775530/travel-the-world-through-portuguese-cooking
32,8/8/2012,Grown-Up Ice Pops For The Young At Heart,"Many trendy desserts these days mimic childhood favorites - think upscale cupcakes, candy bars and whoopie pies. Here's another: frozen pops, remade for adults, with boozy fruit and adventurous flavors.",http://www.npr.org/2012/08/02/157795282/grown-up-ice-pops-for-the-young-at-heart
